Accession,lat,lng
Acc_0001,16.827871,-93.107031
Acc_0002,16.749522,-93.002405
Acc_0003,19.313413,-81.169028
Acc_0004,10.822308,-85.6436
Acc_0005,16.194576,-92.265683
Acc_0006,10.989376,-85.426177
Acc_0007,8.561277,-81.048215
Acc_0008,9.777883,-83.753801
Acc_0009,9.13892,-79.723555
Acc_0010,15.764323,-92.61804
Acc_0011,16.827871,-93.107031
Acc_0012,16.827871,-93.107031
Acc_0013,15.775912,-96.200867
Acc_0014,18.584468,-95.075466
Acc_0015,8.683797,-79.925278
Acc_0016,5.49925,-75.896917
Acc_0017,8.832778,-83.472778
Acc_0018,11.983333,-86.316667
Acc_0019,10.0797,-84.1514
Acc_0020,5.479306,-75.895333
Acc_0021,9.600278,-83.95361
Acc_0022,10.159972,-83.93631
Acc_0023,14.406528,-90.757639
Acc_0024,15.83427,-89.39777
Acc_0025,6.69649,-75.8162
Acc_0026,3.92404,-53.23477
Acc_0027,16.19759,-61.53977
Acc_0028,14.65485,-61.01929
Acc_0029,14.65485,-61.01929
Acc_0030,16.610921,-90.70893
Acc_0031,15.907967,-92.998255
Acc_0032,-23.679809,-64.913265
Acc_0033,-23.660766,-64.916431
Acc_0034,-19.157044,-40.043902
Acc_0035,14.005814,-86.998226
Acc_0036,16.08554,-89.50677
Acc_0037,14.406528,-90.757639
Acc_0038,16.014705,-93.446969
Acc_0039,1.674903,-76.218261
Acc_0040,4.710843,-75.488973
Acc_0041,13.40859,-89.40054
Acc_0042,14.26667,-89.45
Acc_0043,13.46667,-89.36667
Acc_0044,14.36647,-89.39639
Acc_0045,13.8302,-89.52011
Acc_0046,13.87375,-89.62531
Acc_0047,14.45,-90.16667
Acc_0048,14.38681,-89.37542
Acc_0049,13.88333,-88.95
Acc_0050,14.39083,-89.3675
Acc_0051,13.68525,-89.60361
Acc_0052,13.8353,-89.51172
Acc_0053,14.25,-89.45
Acc_0054,13.8,-90.06667
Acc_0055,13.44192,-88.80566
Acc_0056,13.76172,-89.19833
Acc_0057,13.68333,-89.65
Acc_0058,14.41667,-89.35
Acc_0059,13.7105,-89.60281
Acc_0060,14.25,-89.45
Acc_0061,14.25,-89.45
Acc_0062,14.08333,-89.41667
Acc_0063,13.81667,-89.93333
Acc_0064,13.81667,-89.93333
Acc_0065,13.81667,-89.93333
Acc_0066,16.36667,-89.38333
Acc_0067,13.9,-89.78333
Acc_0068,14.41667,-89.35
Acc_0069,13.81667,-89.93333
Acc_0070,13.81667,-89.93333
Acc_0071,13.50611,-89.50639
Acc_0072,13.81667,-89.98333
Acc_0073,13.88333,-89.13333
Acc_0074,13.5,-89.25
Acc_0075,13.81667,-89.93333
Acc_0076,13.5,-88.86667
Acc_0077,13.85,-89.9
Acc_0078,13.88333,-89.8
Acc_0079,14.41667,-89.35
Acc_0080,13.81667,-89.93333
Acc_0081,13.81667,-89.98333
Acc_0082,13.65917,-89.38028
Acc_0083,13.81667,-89.98333
Acc_0084,13.81667,-89.93333
Acc_0085,13.81667,-89.98333
Acc_0086,13.86667,-89.78333
Acc_0087,13.58333,-89.23333
Acc_0088,13.81667,-89.93333
Acc_0089,13.81667,-89.93333
Acc_0090,13.81667,-89.98333
Acc_0091,14.41667,-89.35
Acc_0092,13.5,-88.86667
Acc_0093,13.81667,-89.93333
Acc_0094,13.81667,-89.93333
Acc_0095,14.41667,-89.03333
Acc_0096,13.81667,-89.93333
Acc_0097,13.81667,-89.98333
Acc_0098,13.9,-89.8
Acc_0099,6.5341,3.53704
Acc_0100,-9.12,-72.7
Acc_0101,-20.3,-40.533333
Acc_0102,-8.268611,-72.743889
Acc_0103,-24.11,-47.593889
Acc_0104,-20.278333,-40.540556
Acc_0105,-10.85,-68.8
Acc_0106,-7.631111,-72.67
Acc_0107,-22.25,-44.566667
Acc_0108,-7.448056,-73.666667
Acc_0109,-10.75,-68.33
Acc_0110,-20.272778,-40.479167
Acc_0111,2.821853,-75.201289
Acc_0112,11.04,-74.846667
Acc_0113,10.745056,-75.0985
Acc_0114,9.917472,-75.159694
Acc_0115,-27.100856,-48.888554
Acc_0116,1.352074,103.819836
Acc_0117,-23.694995,-64.865301
Acc_0118,9.297275,-75.284947
Acc_0119,2.026663,-76.260183
Acc_0120,-23.664874,-46.551175
Acc_0121,10.637778,-75.227778
Acc_0122,10.637778,-75.227778
Acc_0123,10.637778,-75.227778
Acc_0124,10.637778,-75.227778
Acc_0125,10.637778,-75.227778
Acc_0126,10.637778,-75.227778
Acc_0127,10.637778,-75.227778
Acc_0128,4.442,-75.9286
Acc_0129,4.5171,-75.9029
