city,lat,lng,country,iso2,admin_name,capital,population,population_proper,elevation
Delhi,28.66,77.23,India,IN,Delhi,admin,29617000.0,16753235.0,221
Mumbai,18.9667,72.8333,India,IN,Mahārāshtra,admin,23355000.0,12478447.0,13
Kolkāta,22.5411,88.3378,India,IN,West Bengal,admin,17560000.0,4496694.0,10
Bangalore,12.9699,77.598,India,IN,Karnātaka,admin,13707000.0,8443675.0,919
Chennai,13.0825,80.275,India,IN,Tamil Nādu,admin,11324000.0,6727000.0,12
Hyderābād,17.3667,78.4667,India,IN,Telangana,admin,9746000.0,6993262.0,496
Pune,18.5196,73.8553,India,IN,Mahārāshtra,,7764000.0,3124458.0,555
Ahmedabad,23.03,72.58,India,IN,Gujarāt,minor,7410000.0,5570585.0,53
Sūrat,21.17,72.83,India,IN,Gujarāt,,5807000.0,4466826.0,16
Lucknow,26.847,80.947,India,IN,Uttar Pradesh,admin,3382000.0,3382000.0,116
Jaipur,26.9167,75.8667,India,IN,Rājasthān,admin,3073350.0,3073350.0,420
Cawnpore,26.4725,80.3311,India,IN,Uttar Pradesh,,2701324.0,2701324.0,130
Mirzāpur,25.15,82.58,India,IN,Uttar Pradesh,,2496970.0,2496970.0,85
Nāgpur,21.1539,79.0831,India,IN,Mahārāshtra,,2405665.0,2405665.0,316
Ghāziābād,28.6667,77.4167,India,IN,Uttar Pradesh,,2381452.0,2381452.0,209
Indore,22.7206,75.8472,India,IN,Madhya Pradesh,,2201927.0,2201927.0,552
Vadodara,22.3,73.2,India,IN,Gujarāt,,2065771.0,2065771.0,40
Vishākhapatnam,17.7333,83.3167,India,IN,Andhra Pradesh,,2035922.0,2035922.0,53
Bhopāl,23.25,77.4167,India,IN,Madhya Pradesh,admin,1883381.0,1883381.0,509
Chinchvad,18.6278,73.8131,India,IN,Mahārāshtra,,1729320.0,1729320.0,586
Patna,25.61,85.1414,India,IN,Bihār,admin,1684222.0,1684222.0,59
Ludhiāna,30.9083,75.8486,India,IN,Punjab,,1649000.0,1545368.0,246
Āgra,27.18,78.02,India,IN,Uttar Pradesh,,1585705.0,1585705.0,183
Kalyān,19.2502,73.1602,India,IN,Mahārāshtra,,1576614.0,1576614.0,8
