,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
1,RG Sharma (IND),2007-2022,148,140,17,3853,118,31.32,2767,139.24,4,29,10,348,182
15,GJ Maxwell (AUS),2012-2022,98,90,14,2159,145*,28.4,1430,150.97,3,10,3,176,106
32,C Munro (NZ),2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107
83,S Davizi (CZK-R),2019-2022,28,28,3,1093,115*,43.72,778,140.48,3,5,1,116,39
2,MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173
3,Babar Azam (PAK),2016-2022,99,94,13,3355,122,41.41,2625,127.8,2,30,5,355,50
18,BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
5,AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
63,GD Phillips (NZ),2017-2022,56,49,8,1361,108,33.19,918,148.25,2,8,2,94,70
57,SA Yadav (IND),2021-2022,42,40,8,1408,117,44.0,778,180.97,2,12,3,131,80
